"id","year","major_head","estimate_type","major_category","minor_category","sub_category","amount"
118,"2018-2019","6001","Budget","Borrowings","Short Term Borrowings","364 Days Treasury Bills Repayments",-149993.0
119,"2018-2019","6001","Budget","Borrowings","Short Term Borrowings","Cash Management Bills Gross Borrowings",100000.0
120,"2018-2019","6001","Budget","Borrowings","Short Term Borrowings","Cash Management Bills Repayments",-100000.0
121,"2018-2019","6001","Budget","Borrowings","Short Term Borrowings","Ways & Means Advances Gross Borrowings",500000.0
122,"2018-2019","6001","Budget","Borrowings","Short Term Borrowings","Ways & Means Advances Repayments",-500000.0
123,"2018-2019","6001","Budget","Securities against Small Savings","Receipts","Ways & Means Advances ",88533.0
124,"2018-2019","6001","Budget","Securities against Small Savings","Repayments","Ways & Means Advances ",-13533.0
125,"2018-2019","8009","Budget","State Provident Funds","Receipts","Ways & Means Advances ",65000.0
126,"2018-2019","8009","Budget","State Provident Funds","Disbursements","Ways & Means Advances ",-48000.0
127,"2018-2019","6001","Budget","Other Receipts (Internal Debts and Public Account)","Relief Bonds","Receipts ",""
128,"2018-2019","6001","Budget","Other Receipts (Internal Debts and Public Account)","Relief Bonds","Disbursements ",-54.88
129,"2018-2019","6001","Budget","Other Receipts (Internal Debts and Public Account)","Saving Bonds","Receipts ",20177.17
130,"2018-2019","6001","Budget","Other Receipts (Internal Debts and Public Account)","Saving Bonds","Disbursements ",-811.09
131,"2018-2019","6001","Budget","Other Receipts (Internal Debts and Public Account)","Other (Gold Bonds, Gold Monetisation etc.)","Receipts ",5000.0
132,"2018-2019","6001","Budget","Other Receipts (Internal Debts and Public Account)","Other (Gold Bonds, Gold Monetisation etc.)","Disbursements ",""
133,"2018-2019","9002","Budget","Other Receipts (Internal Debts and Public Account)","Other Receipts (Public Account Other than State Provident Funds)","Receipts ",1377490.6
134,"2018-2019","9002","Budget","Other Receipts (Internal Debts and Public Account)","Other Receipts (Public Account Other than State Provident Funds)","Disbursements ",-1316482.49
135,"2018-2019","9002","Budget","Other Receipts (Internal Debts and Public Account)","Other Receipts (Public Account Other than State Provident Funds)","Less Receipts ",""
136,"2018-2019","6001","Budget","Other Receipts (Internal Debts and Public Account)","International Financial Institutions","International Monetary Fund Receipts",0.01
137,"2018-2019","6001","Budget","Other Receipts (Internal Debts and Public Account)","International Financial Institutions","International Monetary Fund Repayments",-100.0
138,"2018-2019","6001","Budget","Other Receipts (Internal Debts and Public Account)","International Financial Institutions","International Monetary Fund Less Receipts netted",-511.62
139,"2018-2019","6001","Budget","Other Receipts (Internal Debts and Public Account)","International Financial Institutions","International Development Association Receipts",408.34
140,"2018-2019","6001","Budget","Other Receipts (Internal Debts and Public Account)","International Financial Institutions","International Development Association Repayments",-357.36
141,"2018-2019","6001","Budget","Other Receipts (Internal Debts and Public Account)","International Financial Institutions","Asian Development Bank and Fund Receipts",66.03
142,"2018-2019","6001","Budget","Other Receipts (Internal Debts and Public Account)","International Financial Institutions","Asian Development Bank and Fund Repayments",-152.82
143,"2018-2019","6001","Budget","Other Receipts (Internal Debts and Public Account)","International Financial Institutions","African Development Fund and Bank Receipts",37.24
144,"2018-2019","6001","Budget","Other Receipts (Internal Debts and Public Account)","International Financial Institutions","African Development Fund and Bank Repayments",-30.58
145,"2018-2019","6002","Budget","External Debt","Multilateral","International Bank for Reconstruction and Development Receipts",6601.85
146,"2018-2019","6002","Budget","External Debt","Multilateral","International Bank for Reconstruction and Development Repayments",-5887.77
147,"2018-2019","6002","Budget","External Debt","Multilateral","International Development Association Receipts",7406.69
148,"2018-2019","6002","Budget","External Debt","Multilateral","International Development Association Repayments",-12083.79
149,"2018-2019","6002","Budget","External Debt","Multilateral","International Fund for Agricultural Development Receipts",471.9
150,"2018-2019","6002","Budget","External Debt","Multilateral","International Fund for Agricultural Development Repayments",-95.83
151,"2018-2019","6002","Budget","External Debt","Multilateral","Asian Development Bank Receipts",9199.81
152,"2018-2019","6002","Budget","External Debt","Multilateral","Asian Development Bank Repayments",-4316.67
153,"2018-2019","6002","Budget","External Debt","Multilateral","Eastern European Community (SAC) Receipts",""
154,"2018-2019","6002","Budget","External Debt","Multilateral","Eastern European Community (SAC) Repayments",-8.63
155,"2018-2019","6002","Budget","External Debt","Multilateral","Organisation of the Petroleum Exporting Countries Receipts",""
156,"2018-2019","6002","Budget","External Debt","Multilateral","Organisation of the Petroleum Exporting Countries Repayments",-12.04
