"id","year","major_head","estimate_type","major_category","minor_category","sub_category","amount"
467,"2019-2020","8009","Budget","State Provident Funds","Disbursements","Repayments ",-59000.0
468,"2019-2020","7601","Revised","Recoveries of Loans & Advances","State Governments","Gross Receipts ",14075.04
469,"2019-2020","7601","Revised","Recoveries of Loans & Advances","State Governments","Recoveries ",-100.0
470,"2019-2020","7602","Revised","Recoveries of Loans & Advances","Union Territories (With Legislature)","Recoveries ",100.05
471,"2019-2020","7605","Revised","Recoveries of Loans & Advances","Foreign Governments","Recoveries ",56.0
472,"2019-2020","9001","Revised","Recoveries of Loans & Advances","Other Loans & Advances (Public Sector Enterprises, Statutory Bodies etc.)","Gross Receipts ",40048.4
473,"2019-2020","9001","Revised","Recoveries of Loans & Advances","Other Loans & Advances (Public Sector Enterprises, Statutory Bodies etc.)","Recoveries ",-37575.0
474,"2019-2020","4000","Revised","Miscellaneous Capital Receipts","Disinvestment Receipts","Recoveries ",65000.0
475,"2019-2020","4000","Revised","Miscellaneous Capital Receipts","Disinvestment of Government stake in Public Sector Banks and Financial Institutions","Recoveries ",""
476,"2019-2020","4000","Revised","Miscellaneous Capital Receipts","Writeback of amounts with AMC","Recoveries ",1.3
477,"2019-2020","4000","Revised","Miscellaneous Capital Receipts","Issue of Bonus Shares","Recoveries ",44.96
478,"2019-2020","4000","Revised","Miscellaneous Capital Receipts","Receipts netted with Bonus Shares","Recoveries ",-46.26
479,"2019-2020","6001","Revised","Borrowings","Market Loans","Gross Borrowings ",710000.0
480,"2019-2020","6001","Revised","Borrowings","Market Loans","Repayments ",-236027.99
481,"2019-2020","6001","Revised","Borrowings","Issuance of Special Securities to Public Sector Banks","Issue of Securities ",65443.0
482,"2019-2020","6001","Revised","Borrowings","Issuance of Special Securities to Public Sector Banks","Less Receipts netted ",-65443.0
483,"2019-2020","6001","Revised","Borrowings","Issuance of Special Securities to EXIM Bank","Issue of Securities ",550.0
484,"2019-2020","6001","Revised","Borrowings","Issuance of Special Securities to EXIM Bank","Less Receipts netted ",-550.0
485,"2019-2020","6001","Revised","Borrowings","Issuance of Special Securities to IDBI Bank Ltd.","Issue of Securities ",4557.0
486,"2019-2020","6001","Revised","Borrowings","Issuance of Special Securities to IDBI Bank Ltd.","Less Receipts netted ",-4557.0
487,"2019-2020","6001","Revised","Borrowings","Issuance of Special Securities to IIFCL","Issue of Securities ",5300.0
488,"2019-2020","6001","Revised","Borrowings","Issuance of Special Securities to IIFCL","Less Receipts netted ",-5300.0
489,"2019-2020","6001","Revised","Borrowings","Switching of Securities","Gross Borrowings ",165000.0
490,"2019-2020","6001","Revised","Borrowings","Switching of Securities","Repayments ",-165000.0
491,"2019-2020","6001","Revised","Borrowings","Buyback","Gross Borrowings ",""
492,"2019-2020","6001","Revised","Borrowings","Buyback","Repayments ",""
493,"2019-2020","6001","Revised","Borrowings","Short Term Borrowings","14 Days Treasury Bills Gross Borrowings",3500912.48
494,"2019-2020","6001","Revised","Borrowings","Short Term Borrowings","14 Days Treasury Bills Repayments",-3500912.48
495,"2019-2020","6001","Revised","Borrowings","Short Term Borrowings","91 Days Treasury Bills Gross Borrowings",677958.25
496,"2019-2020","6001","Revised","Borrowings","Short Term Borrowings","91 Days Treasury Bills Repayment",-649072.75
497,"2019-2020","6001","Revised","Borrowings","Short Term Borrowings","182 Days Treasury Bills Gross Borrowings",295036.5
498,"2019-2020","6001","Revised","Borrowings","Short Term Borrowings","182 Days Treasury Bills Repayments",-283335.5
499,"2019-2020","6001","Revised","Borrowings","Short Term Borrowings","364 Days Treasury Bills Gross Borrowings",193309.5
500,"2019-2020","6001","Revised","Borrowings","Short Term Borrowings","364 Days Treasury Bills Repayments",-208896.0
501,"2019-2020","6001","Revised","Borrowings","Short Term Borrowings","Cash Management Bills Gross Borrowings",240000.0
502,"2019-2020","6001","Revised","Borrowings","Short Term Borrowings","Cash Management Bills Repayments",-240000.0
503,"2019-2020","6001","Revised","Borrowings","Short Term Borrowings","Ways & Means Advances Gross Borrowings",1000000.0
504,"2019-2020","6001","Revised","Borrowings","Short Term Borrowings","Ways & Means Advances Repayments",-1000000.0
505,"2019-2020","6001","Revised","Borrowings","Post Office Life Insurance Fund (POLIF)","Receipts ",""
506,"2019-2020","6001","Revised","Borrowings","Post Office Life Insurance Fund (POLIF)","Repayments ",""
507,"2019-2020","6001","Revised","Securities against Small Savings","Receipts","Repayments ",262413.32
508,"2019-2020","6001","Revised","Securities against Small Savings","Repayments","Repayments ",-22413.32
509,"2019-2020","8009","Revised","State Provident Funds","Receipts","Repayments ",77000.0
510,"2019-2020","8009","Revised","State Provident Funds","Disbursements","Repayments ",-59000.0
511,"2019-2020","6001","Revised","Other Receipts (Internal Debts and Public Account)","Relief Bonds","Receipts ",""
512,"2019-2020","6001","Revised","Other Receipts (Internal Debts and Public Account)","Relief Bonds","Disbursements ",-62.02
513,"2019-2020","6001","Revised","Other Receipts (Internal Debts and Public Account)","Saving Bonds","Receipts ",5000.0
514,"2019-2020","6001","Revised","Other Receipts (Internal Debts and Public Account)","Saving Bonds","Disbursements ",-423.57
515,"2019-2020","6001","Revised","Other Receipts (Internal Debts and Public Account)","Other (Gold Bonds, Gold Monetisation etc.)","Receipts ",7900.0
516,"2019-2020","6001","Revised","Other Receipts (Internal Debts and Public Account)","Other (Gold Bonds, Gold Monetisation etc.)","Disbursements ",-10.0
517,"2019-2020","9002","Revised","Other Receipts (Internal Debts and Public Account)","Other Receipts (Public Account Other than State Provident Funds)","Receipts ",1767757.71
518,"2019-2020","9002","Revised","Other Receipts (Internal Debts and Public Account)","Other Receipts (Public Account Other than State Provident Funds)","Disbursements ",-1769095.88
519,"2019-2020","9002","Revised","Other Receipts (Internal Debts and Public Account)","Other Receipts (Public Account Other than State Provident Funds)","Less Receipts ",""
520,"2019-2020","6001","Revised","Other Receipts (Internal Debts and Public Account)","International Financial Institutions","International Monetary Fund Receipts",960.52
521,"2019-2020","6001","Revised","Other Receipts (Internal Debts and Public Account)","International Financial Institutions","International Monetary Fund Repayments",-5578.54
522,"2019-2020","6001","Revised","Other Receipts (Internal Debts and Public Account)","International Financial Institutions","International Monetary Fund Less Receipts netted",-1454.17
523,"2019-2020","6001","Revised","Other Receipts (Internal Debts and Public Account)","International Financial Institutions","International Development Association Receipts",408.34
524,"2019-2020","6001","Revised","Other Receipts (Internal Debts and Public Account)","International Financial Institutions","International Development Association Repayments",-354.73
525,"2019-2020","6001","Revised","Other Receipts (Internal Debts and Public Account)","International Financial Institutions","Asian Development Bank and Fund Receipts",81.89
526,"2019-2020","6001","Revised","Other Receipts (Internal Debts and Public Account)","International Financial Institutions","Asian Development Bank and Fund Repayments",-162.54
527,"2019-2020","6001","Revised","Other Receipts (Internal Debts and Public Account)","International Financial Institutions","African Development Fund and Bank Receipts",3.42
528,"2019-2020","6001","Revised","Other Receipts (Internal Debts and Public Account)","International Financial Institutions","African Development Fund and Bank Repayments",-29.56
529,"2019-2020","6002","Revised","External Debt","Multilateral","International Bank for Reconstruction and Development Receipts",15556.0
530,"2019-2020","6002","Revised","External Debt","Multilateral","International Bank for Reconstruction and Development Repayments",-6812.41
531,"2019-2020","6002","Revised","External Debt","Multilateral","International Development Association Receipts",8204.0
532,"2019-2020","6002","Revised","External Debt","Multilateral","International Development Association Repayments",-13784.27
533,"2019-2020","6002","Revised","External Debt","Multilateral","International Fund for Agricultural Development Receipts",607.0
534,"2019-2020","6002","Revised","External Debt","Multilateral","International Fund for Agricultural Development Repayments",-129.01
535,"2019-2020","6002","Revised","External Debt","Multilateral","Asian Development Bank Receipts",11180.0
536,"2019-2020","6002","Revised","External Debt","Multilateral","Asian Development Bank Repayments",-4983.67
537,"2019-2020","6002","Revised","External Debt","Multilateral","Eastern European Community (SAC) Receipts",""
538,"2019-2020","6002","Revised","External Debt","Multilateral","Eastern European Community (SAC) Repayments",-8.69
539,"2019-2020","6002","Revised","External Debt","Multilateral","Organisation of the Petroleum Exporting Countries Receipts",""
540,"2019-2020","6002","Revised","External Debt","Multilateral","Organisation of the Petroleum Exporting Countries Repayments",-15.66
541,"2019-2020","6002","Revised","External Debt","Multilateral","New Development Bank Receipts",2000.0
542,"2019-2020","6002","Revised","External Debt","Multilateral","New Development Bank Repayments",""
543,"2019-2020","6002","Revised","External Debt","Multilateral","Asian Infrastructure Investment Bank (AIIB) Receipts",1050.0
544,"2019-2020","6002","Revised","External Debt","Multilateral","Asian Infrastructure Investment Bank (AIIB) Repayments",""
545,"2019-2020","6002","Revised","External Debt","Bilateral","Germany Receipts",1278.0
546,"2019-2020","6002","Revised","External Debt","Bilateral","Germany Repayments",-1240.11
547,"2019-2020","6002","Revised","External Debt","Bilateral","France Receipts",2270.0
548,"2019-2020","6002","Revised","External Debt","Bilateral","France Repayments",-287.22
549,"2019-2020","6002","Revised","External Debt","Bilateral","Japan Receipts",11871.0
550,"2019-2020","6002","Revised","External Debt","Bilateral","Japan Repayments",-5894.81
551,"2019-2020","6002","Revised","External Debt","Bilateral","Switzerland Receipts",""
552,"2019-2020","6002","Revised","External Debt","Bilateral","Switzerland Repayments",""
553,"2019-2020","6002","Revised","External Debt","Bilateral","USA Receipts",""
554,"2019-2020","6002","Revised","External Debt","Bilateral","USA Repayments",-172.41
555,"2019-2020","6002","Revised","External Debt","Bilateral","Russian Federation Receipts",2500.0
556,"2019-2020","6002","Revised","External Debt","Bilateral","Russian Federation Repayments",-781.74
557,"2019-2020","6002","Revised","External Debt","Bilateral","European Investment Bank (EIB) Receipts",500.0
558,"2019-2020","6002","Revised","External Debt","Bilateral","European Investment Bank (EIB) Repayments",""
559,"2019-2020","6002","Revised","External Debt","Expenditure netted against externally assistance for States Projects","European Investment Bank (EIB) ",-17972.88
560,"2019-2020","9003","Revised","Draw Down of Cash Balance","Receipts","European Investment Bank (EIB) ",2729.0
561,"2019-2020","9003","Revised","Draw Down of Cash Balance","Disbursements","European Investment Bank (EIB) ",-2729.0
562,"2019-2020","6001","Revised","Market Stabilisation Scheme","Receipts","European Investment Bank (EIB) ",""
563,"2019-2020","6001","Revised","Market Stabilisation Scheme","Repayments","European Investment Bank (EIB) ",""
564,"2020-2021","7601","Budget","Recoveries of Loans & Advances","State Governments","Gross Receipts ",12399.34
565,"2020-2021","7601","Budget","Recoveries of Loans & Advances","State Governments","Recoveries ",-100.0
566,"2020-2021","7602","Budget","Recoveries of Loans & Advances","Union Territories (With Legislature)","Recoveries ",100.0
567,"2020-2021","7605","Budget","Recoveries of Loans & Advances","Foreign Governments","Recoveries ",46.0
568,"2020-2021","9001","Budget","Recoveries of Loans & Advances","Other Loans & Advances (Public Sector Enterprises, Statutory Bodies etc.)","Gross Receipts ",53796.34
569,"2020-2021","9001","Budget","Recoveries of Loans & Advances","Other Loans & Advances (Public Sector Enterprises, Statutory Bodies etc.)","Recoveries ",-51275.01
570,"2020-2021","4000","Budget","Miscellaneous Capital Receipts","Disinvestment Receipts","Recoveries ",120000.0
571,"2020-2021","4000","Budget","Miscellaneous Capital Receipts","Disinvestment of Government stake in Public Sector Banks and Financial Institutions","Recoveries ",90000.0
572,"2020-2021","4000","Budget","Miscellaneous Capital Receipts","Writeback of amounts with AMC","Recoveries ",""
573,"2020-2021","4000","Budget","Miscellaneous Capital Receipts","Issue of Bonus Shares","Recoveries ",""
574,"2020-2021","4000","Budget","Miscellaneous Capital Receipts","Receipts netted with Bonus Shares","Recoveries ",""
575,"2020-2021","6001","Budget","Borrowings","Market Loans","Gross Borrowings ",780000.0
576,"2020-2021","6001","Budget","Borrowings","Market Loans","Repayments ",-235130.38
577,"2020-2021","6001","Budget","Borrowings","Issuance of Special Securities to Public Sector Banks","Issue of Securities ",0.01
578,"2020-2021","6001","Budget","Borrowings","Issuance of Special Securities to Public Sector Banks","Less Receipts netted ",-0.01
579,"2020-2021","6001","Budget","Borrowings","Issuance of Special Securities to EXIM Bank","Issue of Securities ",""
580,"2020-2021","6001","Budget","Borrowings","Issuance of Special Securities to EXIM Bank","Less Receipts netted ",""
581,"2020-2021","6001","Budget","Borrowings","Issuance of Special Securities to IDBI Bank Ltd.","Issue of Securities ",""
582,"2020-2021","6001","Budget","Borrowings","Issuance of Special Securities to IDBI Bank Ltd.","Less Receipts netted ",""
583,"2020-2021","6001","Budget","Borrowings","Issuance of Special Securities to IIFCL","Issue of Securities ",10000.0
584,"2020-2021","6001","Budget","Borrowings","Issuance of Special Securities to IIFCL","Less Receipts netted ",-10000.0
585,"2020-2021","6001","Budget","Borrowings","Switching of Securities","Gross Borrowings ",270000.0
586,"2020-2021","6001","Budget","Borrowings","Switching of Securities","Repayments ",-270000.0
587,"2020-2021","6001","Budget","Borrowings","Buyback","Gross Borrowings ",""
588,"2020-2021","6001","Budget","Borrowings","Buyback","Repayments ",-30000.0
589,"2020-2021","6001","Budget","Borrowings","Short Term Borrowings","14 Days Treasury Bills Gross Borrowings",3851003.73
590,"2020-2021","6001","Budget","Borrowings","Short Term Borrowings","14 Days Treasury Bills Repayments",-3851003.73
591,"2020-2021","6001","Budget","Borrowings","Short Term Borrowings","91 Days Treasury Bills Gross Borrowings",662435.37
592,"2020-2021","6001","Budget","Borrowings","Short Term Borrowings","91 Days Treasury Bills Repayment",-659275.84
593,"2020-2021","6001","Budget","Borrowings","Short Term Borrowings","182 Days Treasury Bills Gross Borrowings",322175.12
594,"2020-2021","6001","Budget","Borrowings","Short Term Borrowings","182 Days Treasury Bills Repayments",-308519.25
595,"2020-2021","6001","Budget","Borrowings","Short Term Borrowings","364 Days Treasury Bills Gross Borrowings",206494.1
596,"2020-2021","6001","Budget","Borrowings","Short Term Borrowings","364 Days Treasury Bills Repayments",-198309.5
597,"2020-2021","6001","Budget","Borrowings","Short Term Borrowings","Cash Management Bills Gross Borrowings",250000.0
598,"2020-2021","6001","Budget","Borrowings","Short Term Borrowings","Cash Management Bills Repayments",-250000.0
599,"2020-2021","6001","Budget","Borrowings","Short Term Borrowings","Ways & Means Advances Gross Borrowings",1000000.0
600,"2020-2021","6001","Budget","Borrowings","Short Term Borrowings","Ways & Means Advances Repayments",-1000000.0
601,"2020-2021","6001","Budget","Borrowings","Post Office Life Insurance Fund (POLIF)","Receipts ",""
602,"2020-2021","6001","Budget","Borrowings","Post Office Life Insurance Fund (POLIF)","Repayments ",-4000.0
603,"2020-2021","6001","Budget","Securities against Small Savings","Receipts","Repayments ",281294.13
604,"2020-2021","6001","Budget","Securities against Small Savings","Repayments","Repayments ",-41294.13
605,"2020-2021","8009","Budget","State Provident Funds","Receipts","Repayments ",77000.0
606,"2020-2021","8009","Budget","State Provident Funds","Disbursements","Repayments ",-59000.0
607,"2020-2021","6001","Budget","Other Receipts (Internal Debts and Public Account)","Relief Bonds","Receipts ",""
608,"2020-2021","6001","Budget","Other Receipts (Internal Debts and Public Account)","Relief Bonds","Disbursements ",-25.0
609,"2020-2021","6001","Budget","Other Receipts (Internal Debts and Public Account)","Saving Bonds","Receipts ",5000.0
610,"2020-2021","6001","Budget","Other Receipts (Internal Debts and Public Account)","Saving Bonds","Disbursements ",-401.47
611,"2020-2021","6001","Budget","Other Receipts (Internal Debts and Public Account)","Other (Gold Bonds, Gold Monetisation etc.)","Receipts ",10500.0
612,"2020-2021","6001","Budget","Other Receipts (Internal Debts and Public Account)","Other (Gold Bonds, Gold Monetisation etc.)","Disbursements ",-65.0
613,"2020-2021","9002","Budget","Other Receipts (Internal Debts and Public Account)","Other Receipts (Public Account Other than State Provident Funds)","Receipts ",1969688.75
614,"2020-2021","9002","Budget","Other Receipts (Internal Debts and Public Account)","Other Receipts (Public Account Other than State Provident Funds)","Disbursements ",-1928339.48
615,"2020-2021","9002","Budget","Other Receipts (Internal Debts and Public Account)","Other Receipts (Public Account Other than State Provident Funds)","Less Receipts ",""
616,"2020-2021","6001","Budget","Other Receipts (Internal Debts and Public Account)","International Financial Institutions","International Monetary Fund Receipts",1000.01
617,"2020-2021","6001","Budget","Other Receipts (Internal Debts and Public Account)","International Financial Institutions","International Monetary Fund Repayments",-5000.0
618,"2020-2021","6001","Budget","Other Receipts (Internal Debts and Public Account)","International Financial Institutions","International Monetary Fund Less Receipts netted",-1075.69
619,"2020-2021","6001","Budget","Other Receipts (Internal Debts and Public Account)","International Financial Institutions","International Development Association Receipts",0.01
620,"2020-2021","6001","Budget","Other Receipts (Internal Debts and Public Account)","International Financial Institutions","International Development Association Repayments",-322.53
621,"2020-2021","6001","Budget","Other Receipts (Internal Debts and Public Account)","International Financial Institutions","Asian Development Bank and Fund Receipts",72.01
622,"2020-2021","6001","Budget","Other Receipts (Internal Debts and Public Account)","International Financial Institutions","Asian Development Bank and Fund Repayments",-162.54
623,"2020-2021","6001","Budget","Other Receipts (Internal Debts and Public Account)","International Financial Institutions","African Development Fund and Bank Receipts",3.66
624,"2020-2021","6001","Budget","Other Receipts (Internal Debts and Public Account)","International Financial Institutions","African Development Fund and Bank Repayments",-24.19
625,"2020-2021","6002","Budget","External Debt","Multilateral","International Bank for Reconstruction and Development Receipts",14545.0
626,"2020-2021","6002","Budget","External Debt","Multilateral","International Bank for Reconstruction and Development Repayments",-7289.98
627,"2020-2021","6002","Budget","External Debt","Multilateral","International Development Association Receipts",6932.0
628,"2020-2021","6002","Budget","External Debt","Multilateral","International Development Association Repayments",-14581.02
629,"2020-2021","6002","Budget","External Debt","Multilateral","International Fund for Agricultural Development Receipts",634.0
630,"2020-2021","6002","Budget","External Debt","Multilateral","International Fund for Agricultural Development Repayments",-141.61
631,"2020-2021","6002","Budget","External Debt","Multilateral","Asian Development Bank Receipts",11345.0
632,"2020-2021","6002","Budget","External Debt","Multilateral","Asian Development Bank Repayments",-6210.96
633,"2020-2021","6002","Budget","External Debt","Multilateral","Eastern European Community (SAC) Receipts",""
634,"2020-2021","6002","Budget","External Debt","Multilateral","Eastern European Community (SAC) Repayments",-8.33
635,"2020-2021","6002","Budget","External Debt","Multilateral","Organisation of the Petroleum Exporting Countries Receipts",""
636,"2020-2021","6002","Budget","External Debt","Multilateral","Organisation of the Petroleum Exporting Countries Repayments",-15.72
637,"2020-2021","6002","Budget","External Debt","Multilateral","New Development Bank Receipts",3000.0
638,"2020-2021","6002","Budget","External Debt","Multilateral","New Development Bank Repayments",""
639,"2020-2021","6002","Budget","External Debt","Multilateral","Asian Infrastructure Investment Bank (AIIB) Receipts",1350.0
640,"2020-2021","6002","Budget","External Debt","Multilateral","Asian Infrastructure Investment Bank (AIIB) Repayments",""
641,"2020-2021","6002","Budget","External Debt","Bilateral","Germany Receipts",1344.0
642,"2020-2021","6002","Budget","External Debt","Bilateral","Germany Repayments",-1355.39
643,"2020-2021","6002","Budget","External Debt","Bilateral","France Receipts",1815.0
644,"2020-2021","6002","Budget","External Debt","Bilateral","France Repayments",-438.44
645,"2020-2021","6002","Budget","External Debt","Bilateral","Japan Receipts",12792.0
646,"2020-2021","6002","Budget","External Debt","Bilateral","Japan Repayments",-6382.78
647,"2020-2021","6002","Budget","External Debt","Bilateral","Switzerland Receipts",""
648,"2020-2021","6002","Budget","External Debt","Bilateral","Switzerland Repayments",""
649,"2020-2021","6002","Budget","External Debt","Bilateral","USA Receipts",""
650,"2020-2021","6002","Budget","External Debt","Bilateral","USA Repayments",-159.86
651,"2020-2021","6002","Budget","External Debt","Bilateral","Russian Federation Receipts",3000.0
652,"2020-2021","6002","Budget","External Debt","Bilateral","Russian Federation Repayments",-803.91
653,"2020-2021","6002","Budget","External Debt","Bilateral","European Investment Bank (EIB) Receipts",800.0
654,"2020-2021","6002","Budget","External Debt","Bilateral","European Investment Bank (EIB) Repayments",""
655,"2020-2021","6002","Budget","External Debt","Expenditure netted against externally assistance for States Projects","European Investment Bank (EIB) ",-15547.35
656,"2020-2021","9003","Budget","Draw Down of Cash Balance","Receipts","European Investment Bank (EIB) ",2729.0
657,"2020-2021","9003","Budget","Draw Down of Cash Balance","Disbursements","European Investment Bank (EIB) ",-55731.81
658,"2020-2021","6001","Budget","Market Stabilisation Scheme","Receipts","European Investment Bank (EIB) ",""
659,"2020-2021","6001","Budget","Market Stabilisation Scheme","Repayments","European Investment Bank (EIB) ",""
660,"2020-2021","7601","Actual","Recoveries of Loans & Advances","State Governments","Gross Receipts ",16063.28
661,"2020-2021","7601","Actual","Recoveries of Loans & Advances","State Governments","Recoveries ",0.0
662,"2020-2021","7602","Actual","Recoveries of Loans & Advances","Union Territories (With Legislature)","Recoveries ",43.71
663,"2020-2021","7605","Actual","Recoveries of Loans & Advances","Foreign Governments","Recoveries ",310.72
664,"2020-2021","9001","Actual","Recoveries of Loans & Advances","Other Loans & Advances (Public Sector Enterprises, Statutory Bodies etc.)","Gross Receipts ",13505.45
665,"2020-2021","9001","Actual","Recoveries of Loans & Advances","Other Loans & Advances (Public Sector Enterprises, Statutory Bodies etc.)","Recoveries ",-10194.48
666,"2020-2021","4000","Actual","Miscellaneous Capital Receipts","Disinvestment Receipts","Recoveries ",37896.96
667,"2020-2021","4000","Actual","Miscellaneous Capital Receipts","Disinvestment of Government stake in Public Sector Banks and Financial Institutions","Recoveries ",0.0
668,"2020-2021","6001","Actual","Borrowings","Market Loans","Gross Borrowings ",1260115.73
669,"2020-2021","6001","Actual","Borrowings","Market Loans","Repayments ",-227208.31
670,"2020-2021","6001","Actual","Borrowings","Switching of Securities","Gross Borrowings ",157042.44
671,"2020-2021","6001","Actual","Borrowings","Switching of Securities","Repayments ",-153417.57
672,"2020-2021","6001","Actual","Borrowings","Borrowing for providing back to back loans to States and UTs for GST compensation cess shortfall","Gross Borrowing ",110208.0
673,"2020-2021","6001","Actual","Borrowings","Borrowing for providing back to back loans to States and UTs for GST compensation cess shortfall","Less Receipts netted ",-110208.0
674,"2020-2021","6001","Actual","Borrowings","Issuance of Special Securities to Public Sector Banks","Issue of Securities ",20000.0
675,"2020-2021","6001","Actual","Borrowings","Issuance of Special Securities to Public Sector Banks","Less Receipts netted ",-20000.0
676,"2020-2021","6001","Actual","Borrowings","Issuance of Recapitalisation Bonds to other Government controlled Banking entities","Issue of Securities ",0.0
677,"2020-2021","6001","Actual","Borrowings","Issuance of Recapitalisation Bonds to other Government controlled Banking entities","Less Receipts netted ",0.0
678,"2020-2021","6001","Actual","Borrowings","Post Office Life Insurance Fund (POLIF)","Receipts ",4000.0
679,"2020-2021","6001","Actual","Borrowings","Post Office Life Insurance Fund (POLIF)","Repayments ",-4000.0
680,"2020-2021","6001","Actual","Borrowings","Short Term Borrowings","14 Days Treasury Bills ",50664.9
681,"2020-2021","6001","Actual","Borrowings","Short Term Borrowings","14 Days Treasury Bills Gross Borrowings",3745789.93
682,"2020-2021","6001","Actual","Borrowings","Short Term Borrowings","14 Days Treasury Bills Repayments",-3695125.03
683,"2020-2021","6001","Actual","Borrowings","Short Term Borrowings","91 Days Treasury Bills ",10713.21
684,"2020-2021","6001","Actual","Borrowings","Short Term Borrowings","91 Days Treasury Bills Gross Borrowings",743488.03
685,"2020-2021","6001","Actual","Borrowings","Short Term Borrowings","91 Days Treasury Bills Repayment",-732774.82
686,"2020-2021","6001","Actual","Borrowings","Short Term Borrowings","182 Days Treasury Bills ",-18742.86
687,"2020-2021","6001","Actual","Borrowings","Short Term Borrowings","182 Days Treasury Bills Gross Borrowings",488606.87
688,"2020-2021","6001","Actual","Borrowings","Short Term Borrowings","182 Days Treasury Bills Repayments",-507349.73
689,"2020-2021","6001","Actual","Borrowings","Short Term Borrowings","364 Days Treasury Bills ",240570.0
690,"2020-2021","6001","Actual","Borrowings","Short Term Borrowings","364 Days Treasury Bills Gross Borrowings",458240.0
691,"2020-2021","6001","Actual","Borrowings","Short Term Borrowings","364 Days Treasury Bills Repayments",-217670.0
692,"2020-2021","6001","Actual","Borrowings","Short Term Borrowings","Cash Management Bills ",-80000.0
693,"2020-2021","6001","Actual","Borrowings","Short Term Borrowings","Cash Management Bills Gross Borrowings",80000.0
694,"2020-2021","6001","Actual","Borrowings","Short Term Borrowings","Cash Management Bills Repayments",-160000.0
695,"2020-2021","6001","Actual","Borrowings","Short Term Borrowings","Ways & Means Advances ",0.0
696,"2020-2021","6001","Actual","Borrowings","Short Term Borrowings","Ways & Means Advances Gross Borrowings",398990.0
697,"2020-2021","6001","Actual","Borrowings","Short Term Borrowings","Ways & Means Advances Repayments",-398990.0
698,"2020-2021","6001","Actual","Securities against Small Savings","Receipts","Ways & Means Advances ",526234.99
699,"2020-2021","6001","Actual","Securities against Small Savings","Repayments","Ways & Means Advances ",-42502.46
700,"2020-2021","8009","Actual","State Provident Funds","Receipts","Ways & Means Advances ",69390.47
701,"2020-2021","8009","Actual","State Provident Funds","Disbursements","Ways & Means Advances ",-50876.87
702,"2020-2021","6001","Actual","Other Receipts (Internal Debts and Public Account)","Relief Bonds","Receipts ",0.0
703,"2020-2021","6001","Actual","Other Receipts (Internal Debts and Public Account)","Relief Bonds","Disbursements ",-0.55
704,"2020-2021","6001","Actual","Other Receipts (Internal Debts and Public Account)","Saving Bonds","Receipts ",19997.92
705,"2020-2021","6001","Actual","Other Receipts (Internal Debts and Public Account)","Saving Bonds","Disbursements ",-317.09
706,"2020-2021","6001","Actual","Other Receipts (Internal Debts and Public Account)","Sovereign Gold Bond Scheme","Receipts ",16048.74
707,"2020-2021","6001","Actual","Other Receipts (Internal Debts and Public Account)","Sovereign Gold Bond Scheme","Disbursements ",-11.49
708,"2020-2021","6001","Actual","Other Receipts (Internal Debts and Public Account)","Gold Monetization Scheme","Receipts ",1273.89
709,"2020-2021","6001","Actual","Other Receipts (Internal Debts and Public Account)","Gold Monetization Scheme","Disbursements ",-9.29
710,"2020-2021","9002","Actual","Other Receipts (Internal Debts and Public Account)","Other Receipts (Public Account Other than State Provident Funds)","Receipts ",2779488.55
711,"2020-2021","9002","Actual","Other Receipts (Internal Debts and Public Account)","Other Receipts (Public Account Other than State Provident Funds)","Disbursements ",-2793776.08
712,"2020-2021","9002","Actual","Other Receipts (Internal Debts and Public Account)","Other Receipts (Public Account Other than State Provident Funds)","Less Receipts ",0.0
713,"2020-2021","6001","Actual","Other Receipts (Internal Debts and Public Account)","International Fund for Agricultural Development","Receipts ",0.24
714,"2020-2021","6001","Actual","Other Receipts (Internal Debts and Public Account)","International Fund for Agricultural Development","Repayments ",0.0
715,"2020-2021","6001","Actual","Other Receipts (Internal Debts and Public Account)","International Financial Institutions","International Monetary Fund ",-9541.54
716,"2020-2021","6001","Actual","Other Receipts (Internal Debts and Public Account)","International Financial Institutions","International Monetary Fund Receipts",8285.21
717,"2020-2021","6001","Actual","Other Receipts (Internal Debts and Public Account)","International Financial Institutions","International Monetary Fund Repayments",-10055.4
718,"2020-2021","6001","Actual","Other Receipts (Internal Debts and Public Account)","International Financial Institutions","International Monetary Fund Less Receipts netted",-7771.35
719,"2020-2021","6001","Actual","Other Receipts (Internal Debts and Public Account)","International Financial Institutions","International Development Association ",180.25
720,"2020-2021","6001","Actual","Other Receipts (Internal Debts and Public Account)","International Financial Institutions","International Development Association Receipts",500.0
721,"2020-2021","6001","Actual","Other Receipts (Internal Debts and Public Account)","International Financial Institutions","International Development Association Repayments",-319.75
722,"2020-2021","6001","Actual","Other Receipts (Internal Debts and Public Account)","International Financial Institutions","Asian Development Bank and Fund ",-60.29
723,"2020-2021","6001","Actual","Other Receipts (Internal Debts and Public Account)","International Financial Institutions","Asian Development Bank and Fund Receipts",75.6
724,"2020-2021","6001","Actual","Other Receipts (Internal Debts and Public Account)","International Financial Institutions","Asian Development Bank and Fund Repayments",-135.89
725,"2020-2021","6001","Actual","Other Receipts (Internal Debts and Public Account)","International Financial Institutions","African Development Fund and Bank ",42.22
726,"2020-2021","6001","Actual","Other Receipts (Internal Debts and Public Account)","International Financial Institutions","African Development Fund and Bank Receipts",74.8
